nom,street,postal_code,city,latitude,longitude,geocode_score,statut,objet,siret,mots_cles
EPICERIE SOLIDAIRE SOLEIL ET SAVEURS,27 RTE de Frangy,74960,Annecy,45.918085,6.089785,0.8582,Active,"l'association a pour objet l'aide alimentaire et l'écoute aux personnes en situation de précarité temporaire en concertation avec les services sociaux de la commune nouvelle d'Annecy et plus particulièrement de Meythet ; Par extension, ces droits sont ouverts à d'autres communes souhaitant se rattacher à l'épicerie Soleil et Saveurs ;",,aide alimentaire
ASSOCIATION YESHUA HA MASHIAH,66 B RTE des Grands Champs,74410,Saint-Jorioz,45.828006,6.171913,0.7818,Active,"collecter et distribuer des aides alimentaires, aider à l'éducation et au divertissement, collecter des dons soit financiers, soit matérielles à destination de projets humanitaires auprès de jeunes en difficultés en France et à l'étranger, notamment sur le territoire africain ;",,aide alimentaire
LES ELITES SOCIALES ET CULTURELLES,12 BD jacques replat,74000,Annecy,45.904608,6.118283,0.7668,Active,"l'association a pour objet de promouvoir l'apprentissage des langues, l'intégration sociale et professionnelle,l'accompagnement administratif,l'aide à l'emploi, ainsi que des actions de solidarité, d'entraide, d'aide alimentaire, de distribution de vetements et d'activités culturelles, educatives et sociales",,aide alimentaire
ASSOCIATION CANTONALE POUR L'AIDE ALIMENTAIRE,600 RUE de la Freille,74190,Passy,45.926659,6.718166,0.9610,Active,"fournir une aide alimentaire et des produits d'hygiène de première nécessité aux habitants de saint gervais les bains, les contamines montjoie et passy",80752746000016,aide alimentaire
AU COEUR DES MAMANS,188 RTE de Charny,74490,Saint-Jeoire,46.136161,6.46917,0.8628,Active,"soutien alimentaire ponctuel, permettre d'alléger ponctuellement le quotidien de mamans en difficulté matérielle ou morale (situation familiale/financière par une aide alimentaire (selon les stocks récoltés, vente à bas prix de vêtements de récupération (1¤ ou 2¤ le vêtement)",,aide alimentaire
ASSOCIATION MAISON DE LA SAGESSE,674 AV du Crozet,74950,Scionzier,46.065952,6.542346,0.8107,Active,"oeuvrer pour répondre aux besoins cultuels, culturels et éducatifs de l'ensemble des citoyens de scionzier, organiser, participer et soutenir les actions et les projets à caractère humanitaire : cultuels : disposer de mosquées dignes, pourvoir aux besoins religieux des musulmans, culturels : favoriser l'échange et le dialogue entre les cultures et les civilisations, organiser et développer l'enseignement de la culture musulmane, organiser des cours de soutien scolaire pour les enfants en difficultés quelles que soient leurs origines ou confessions, humanitaires : organiser et contribuer aux actions d'ordre humanitaire, distribution de colis alimentaires",,colis alimentaire
RISHIKESH RELIEF,421 RTE du Pont,74310,Les   Houches,45.893661,6.8173,0.8573,Active,envoyer des dons en numéraires pour une aide alimentaire aux sinistrés des inondations de la région Uttarakhand en Inde et aider à la reconstruction des infrastructures,,aide alimentaire
ASSOCIATION CULTURELLE DE NIOUMAMILIMA MBADJINI RESIDANT A CHAMONIXMONT (ACNRCHM),1165 PROM Marie Paradis,74400,Chamonix-Mont-Blanc,45.914651,6.854817,0.8458,Active,"organiser des collectes de fonds pour la mise en place et la gestion de services humanitaires, aide alimentaire, aide sanitaire, développer l'éducation scolaire pour les enfants et les populations dans le besoin, et tous objets similaires, connexes ou complémentaires ou susceptibles d'en favoriser la réalisation ou le développement",,aide alimentaire
VOULOIR C'EST POUVOIR,355 AV de la Libération,74800,Roche-sur-Foron,46.069579,6.306341,0.7319,Active,"notre but principal est d'apporter une assistance médicale et
sociale aux personnes en situation de précarité originaires de la
République Démocratique du Congo, notamment en leur
fournissant des soins médicaux, un soutien psychologique, une
aide alimentaire et tout autre type d'aide nécessaire à leur
bien-être et à leur insertion sociale ;",,aide alimentaire
HUMABRIDGE (HUMABRIDGE),24 RUE du Maréchal de Lattre de Tassigny,74300,Cluses,46.066962,6.572929,0.9634,Active,"mener, soutenir et promouvoir des actions d'aide humanitaire, sociale et solidaire, en france et à l'international, auprès de toute population vulnérable, sans distinction d'origine, de nationalité, de religion, de genre ou d'opinion politique ; l'aide humanitaire d'urgence (secours, aide alimentaire, médicale, vestimentaire, hébergement d'urgence) ; le soutien aux populations en situation de précarité, d'exclusion ou de crise ; l'accompagnement social, éducatif, psychologique et professionnel des personnes vulnérables ; le soutien aux enfants, adolescents, femmes et familles en difficulté ; la protection de la dignité humaine et des droits fondamentaux ; la mise en place de projets favorisant l'autonomie, la résilience et le développement durable ; la coopération avec des acteurs locaux, nationaux et internationaux ; la sensibilisation du public aux enjeux humanitaires et solidaires, et tous objets similaires, connexes ou complémentaires ou susceptibles d'en favoriser la réalisation ou le développement",,aide alimentaire
BANQUE ALIMENTAIRE DE HAUTE-SAVOIE (BA 74),221 RUE de la Géline,74380,Cranves-Sales,46.185754,6.279897,0.9594,Active,"en référence aux valeurs de la Charte des Banques Alimentaires et du projet associatif du réseau des BA, dans une démarche de solidarité, apporter une aide alimentaire aux personnes les plus démunies en partenariat avec des associations et organismes sociaux ; aide visant à promouvoir une alimentation de qualité et créatrice de lien, facteur de retour à une vie normale pour ces personnes",,aide alimentaire | banque alimentaire
COEUR SUR LA MAIN,6 RUE des Eaux Belles,74100,Annemasse,46.184991,6.235866,0.9629,Active,"organisation d'évènements culturels : mise en place de concerts de musique, organisation de spectacles de danse, de tournois sportifs, d'expositions d'art, de production de CD et promotion d'artistes de la scène locale à titre gracieux afin de venir en aide aux pays en développement par le biais de convois humanitaires, d'aides alimentaires, d'aide aux personnes défavorisées, aux jeunes en difficulté et aux sans abris",,aide alimentaire
LES PANIERS DU COEUR,35 PL de l'Eglise,74270,Frangy,46.019555,5.930012,0.8155,Active,"gérer un centre d'aide alimentaire avec un objectif éducatif auprès des familles en difficulté, visant, par une démarche d'insertion, le retour à l'autonomie, dans une dynamique d'échange, en collaboration avec les partenaires institutionnels",,aide alimentaire
COEUR DES FEMMES,64 RUE du Château Rouge,74100,Annemasse,46.188282,6.241426,0.9689,Active,"mise en place des cours d'alphabétisation pour adulte ; aide alimentaire et médicale pour les plus démunis (les enfants de la rue, orphelinat, veuf ; ; ; ; )  ; construction des centres d'accueil pour les enfants de la rue",,aide alimentaire
NÉ POUR BRILLER,2 RUE du sentier,74100,Annemasse,46.187529,6.241959,0.9614,Active,"aide alimentaire, vestimentaire, culturelle et spirituelle pour les nécessiteux",,aide alimentaire
LA COMPASSION,379 Batime RUE des Hirondelles,74520,Valleiry,46.107576,5.974758,0.8084,Active,"apporter une aide alimentaire aux personnes démunies ( adressées par des services sociaux du secteur) tout en leur demandant une participation financière, d'apporter une aide aux personnes dans leurs démarches administratives, d'être un lieu d'écoute neutre et et non-jugeant, de développer des animations individuelles ou collectives afin de favoriser le lien social",,aide alimentaire
MARAUDE ANNEMASSE,114 RTE des Cheneviers,74380,Cranves-Sales,46.201309,6.287058,0.8731,Active,"maraude alimentaires et social 
Colis alimentaires d'urgence
Visites de personnes âgées 
Prévenir, réduire, sensibiliser a la précarité
Projet d'insertion social pour des personnes a la rue isolée 
repas solidaires en faveur de personnes précaires",,colis alimentaire
GHANAM CHARITY,120 AV de Mossingen,74160,Saint-Julien-en-Genevois,46.146904,6.087585,0.7903,Active,"l association a pour objet de mener des actions humanitaires et solidaires en faveur des populations en situation de précarité, notamment à travers la collecte de fonds, l organisation d opérations de distribution alimentaire, la gestion logistique de l acheminement et de la répartition de denrées, ainsi que la mise en oeuvre de programmes d aide visant à améliorer les conditions de vie des bénéficiaires, en particulier en afrique ; , et tous objets similaires, connexes ou complémentaires ou susceptibles d en favoriser la réalisation ou le développement",,distribution alimentaire
EPICERIE SOCIALE AIDERS,19 RTE Imperiale,74200,Anthy-sur-Léman,46.353126,6.43805,0.7980,Active,"apporter une aide alimentaire aux personnes en situation de précarité ; créer et gérer une épicerie sociale et solidaire ; accompagner cette aide alimentaire d'une action pédagogique et d'information portant sur l'équilibre alimentaire, l'hygiène et la santé ; être un lieu d'accueil et de rencontre, en vue de contribuer à faciliter, voire à restaurer les liens sociaux ; être un lieu d'écoute bienveillant ;",,aide alimentaire
